# Thai words with more than one recorded reading (WikiPron), most frequent first.
# class: sandhi = linking form inside a Pali/Sanskrit compound (positional, the
#   dictionary already carries it on the compound); tone-only / vowel-length =
#   two accepted transcriptions of one word; letter-names = the spelling-out
#   reading; REVIEW = none of those, so possibly a true heteronym.
# Only REVIEW rows need a human. For each, say whether the two readings mean
#   DIFFERENT things (write y) or are both acceptable for the same word (n),
#   and if y, list words that signal the second reading.
freq	word	class	ours	readings	different_meaning	cue_words
3168	แรม	vowel-length	rɛːm˧	rɛm˧ | rɛːm˧		
3159	บริโภค	sandhi	bɔː˧ri˦˥pʰoːk̚˥˩	bɔː˧ri˦˥pʰoːk̚˥˩ | bɔː˧ri˦˥pʰoːk̚˥˩kʰa˦˥		
3155	ทุน	sandhi	tʰun˧	tʰun˧ | tʰun˧na˦˥		
3143	เบลเยียม	REVIEW	beːl˧jiam˥˩	bew˧jia̯m˥˩ | beːl˧jia̯m˥˩		
3129	อธิบดี	REVIEW	ʔa˨˩tʰi˦˥bɔː˧diː˧	ʔa˨˩tʰip̚˦˥bɔː˧diː˧ | ʔa˨˩tʰi˦˥bɔː˧diː˧		
3081	บรรยาย	REVIEW	ban˧jaːj˧	ban˧jaːj˧ | ban˧ra˦˥jaːj˧		
3076	อุบัติเหตุ	REVIEW	ʔu˨˩bat̚˨˩ti˨˩heːt̚˨˩	ʔu˨˩bat̚˨˩heːt̚˨˩ | ʔu˨˩bat̚˨˩ti˨˩heːt̚˨˩		
3073	วรรณ	sandhi	wan˧	wan˧ | wan˧na˦˥		
3034	เฮนรี	tone-only	heː˧na˦˥riː˧	heːn˧riː˥˩ | heːn˧riː˧		
3027	ไม้ตาย	vowel-length	maːj˦˥taːj˧	maj˦˥taːj˧ | maːj˦˥taːj˧		
2913	นักประวัติศาสตร์	REVIEW	nak̚˦˥pra˨˩wat̚˨˩ti˨˩saːt̚˨˩	nak̚˦˥pra˨˩wat̚˨˩saːt̚˨˩ | nak̚˦˥pra˨˩wat̚˨˩ti˨˩saːt̚˨˩		
2900	ยืม	tone-only	jɯːm˧	jɯːm˦˥ | jɯːm˧		
2895	สมการ	REVIEW	sa˨˩ma˦˥kaːn˧	sa˨˩ma˦˥kaːn˧ | som˩˩˦ma˦˥kaːn˧		
2889	กรีซ	tone-only	kriːs˨˩	kriːs˦˥ | kriːs˨˩		
2872	พิชิต	sandhi	pʰi˦˥tɕʰit̚˦˥	pʰi˦˥tɕʰit̚˦˥ | pʰi˦˥tɕʰit̚˦˥ta˨˩		
2862	ญาติ	sandhi	jaːt̚˥˩	jaːt̚˥˩ | jaːt̚˥˩ti˨˩ | jaː˧ti˨˩		
2860	โทร	sandhi	tʰoː˧	tʰoː˧ | tʰoː˧ra˦˥		
2844	เอกซ์	REVIEW	ʔek̚˦˥	ʔek̚s˦˥ | ʔek̚˦˥		
2823	อาน	sandhi	ʔaːn˧	ʔaːn˧ | ʔaː˧na˦˥		
2785	ตง	letter-names	toŋ˧	toŋ˧ | tɔː˧ŋɔː˧		
2779	เวช	sandhi	weːt̚˥˩	weːt̚˥˩ | weːt̚˥˩tɕʰa˦˥		
2777	ข	sandhi	kʰɔː˩˩˦	kʰɔː˩˩˦ | kʰɔː˩˩˦kʰaj˨˩		
2774	ษ	sandhi	sɔː˩˩˦	sɔː˩˩˦ | sɔː˩˩˦rɯː˧siː˩˩˦		
2772	กล	sandhi	kon˧	kon˧ | kon˧la˦˥		
2766	ฏ	sandhi	tɔː˧	tɔː˧ | tɔː˧pa˨˩tak̚˨˩		
2753	ทาน	sandhi	tʰaːn˧	tʰaːn˧ | tʰaːn˧na˦˥ | tʰaː˧na˦˥		
2751	ปฐม	sandhi	pa˨˩tʰom˩˩˦	pa˨˩tʰom˩˩˦ | pa˨˩tʰom˩˩˦ma˦˥		
2741	เกษตร	sandhi	ka˨˩seːt̚˨˩	ka˨˩seːt̚˨˩ | ka˨˩seːt̚˨˩tra˨˩		
2705	อาสน	REVIEW	ʔaːt̚˨˩sa˨˩na˦˥	ʔaːt̚˨˩sa˨˩na˦˥ | ʔaː˧son˩˩˦		
2699	ญาณ	sandhi	jaːn˧	jaːn˧ | jaːn˧na˦˥ | jaː˧na˦˥		
2679	อุดม	sandhi	ʔu˨˩dom˧	ʔu˨˩dom˧ | ʔu˨˩dom˧ma˦˥		
2669	บริติช	tone-only	bɔː˧ri˦˥tit̚˨˩	bri˦˥tit̚˦˥ | bri˨˩tit̚˦˥		
2638	พิษ	sandhi	pʰit̚˦˥	pʰit̚˦˥ | pʰit̚˦˥sa˨˩		
2628	โทษ	sandhi	tʰoːt̚˥˩	tʰoːt̚˥˩ | tʰoːt̚˥˩sa˨˩		
2599	มาร	sandhi	maːn˧	maːn˧ | maːn˧ra˦˥ | maː˧ra˦˥		
2588	แพทยศาสตร์	REVIEW	pʰɛːt̚˥˩tʰa˦˥ja˦˥saːt̚˨˩	pʰɛːt̚˥˩saːt̚˨˩ | pʰɛːt̚˥˩tʰa˦˥ja˦˥saːt̚˨˩		
2557	ขอนแก่น	vowel-length	kʰɔːn˩˩˦kɛn˨˩	kʰɔn˩˩˦kɛn˨˩ | kʰɔːn˩˩˦kɛn˨˩		
2549	บาน	sandhi	baːn˧	baːn˧ | baːn˧na˦˥		
2543	อาชญากรรม	REVIEW	ʔaːt̚˨˩jaː˧kam˧	ʔaːt̚˨˩jaː˧kam˧ | ʔaːt̚˨˩tɕʰa˦˥jaː˧kam˧		
2518	กระดาษ	tone-only	kra˨˩daːt̚˨˩	kra˧daːt̚˨˩ | kra˨˩daːt̚˨˩		
2504	วน	REVIEW	won˧	wa˦˥na˦˥ | won˧		
2494	อนาคต	sandhi	ʔa˨˩naː˧kʰot̚˦˥	ʔa˨˩naː˧kʰot̚˦˥ | ʔa˨˩naː˧kʰot̚˦˥ta˨˩		
2477	กุมาร	sandhi	ku˨˩maːn˧	ku˨˩maːn˧ | ku˨˩maː˧ra˦˥		
2467	ทักษิณ	sandhi	tʰak̚˦˥sin˩˩˦	tʰak̚˦˥sin˩˩˦ | tʰak̚˦˥si˨˩na˦˥		
2456	มณี	tone-only	ma˦˥niː˧	ma˦˥niː˧ | ma˧niː˧		
2420	โบราณสถาน	REVIEW	boː˧raːn˧sa˨˩tʰaːn˩˩˦	boː˧raːn˧na˦˥sa˨˩tʰaːn˩˩˦ | boː˧raːn˧sa˨˩tʰaːn˩˩˦		
2414	อุดมศึกษา	REVIEW	ʔu˨˩dom˧sɯk̚˨˩saː˩˩˦	ʔu˨˩dom˧ma˦˥sɯk̚˨˩saː˩˩˦ | ʔu˨˩dom˧sɯk̚˨˩saː˩˩˦		
2397	มัสยิด	REVIEW	mat̚˦˥sa˨˩jit̚˦˥	mas˦˥jit̚˦˥ | mat̚˦˥sa˨˩jit̚˦˥		
2380	วิศวกรรม	sandhi	wit̚˦˥sa˨˩wa˦˥kam˧	wit̚˦˥sa˨˩wa˦˥kam˧ | wit̚˦˥sa˨˩wa˦˥kam˧ma˦˥		
2379	รัฐประหาร	REVIEW	rat̚˦˥tʰa˨˩pra˨˩haːn˩˩˦	rat̚˦˥pra˨˩haːn˩˩˦ | rat̚˦˥tʰa˨˩pra˨˩haːn˩˩˦		
2369	ฟิล์ม	vowel-length	fiːm˧	fim˧ | fiːm˧		
2338	นนทบุรี	REVIEW	non˧tʰa˦˥bu˨˩riː˧	non˧bu˨˩riː˧ | non˧tʰa˦˥bu˨˩riː˧		
2336	ปฏิวัติ	tone-only	pa˨˩ti˨˩wat̚˦˥	pa˧ti˧wat̚˦˥ | pa˨˩ti˧wat̚˦˥ | pa˨˩ti˨˩wat̚˦˥		
2332	กุฏิ	sandhi	ku˨˩tiʔ˨˩	kut̚˨˩ | kut̚˨˩tiʔ˨˩ | ku˨˩tiʔ˨˩		
2321	สก	letter-names	sok̚˨˩	sa˨˩ka˨˩ | sok̚˨˩ | sɔː˩˩˦kɔː˧		
2302	ออกซิเจน	vowel-length	ʔɔk̚˦˥si˦˥tɕeːn˧	ʔɔk̚˦˥si˦˥tɕen˥˩ | ʔɔk̚˦˥si˦˥tɕeːn˧		
2302	พยาบาล	tone-only	pʰa˦˥jaː˧baːn˧	pʰa˦˥jaː˧baːn˧ | pʰa˧jaː˧baːn˧		
2292	นว	letter-names	na˦˥waʔ˦˥	na˦˥wa˦˥ | nɔː˧wɔː˧		
2224	เพชรบุรี	REVIEW	pʰet̚˦˥tɕʰa˦˥bu˨˩riː˧	pʰet̚˦˥bu˨˩riː˧ | pʰet̚˦˥tɕʰa˦˥bu˨˩riː˧		
2197	ไอดอล	REVIEW	ʔaj˧dɔl˥˩	ʔaj˧dɔl˥˩ | ʔaj˧dɔn˥˩		
2186	ราชบุรี	REVIEW	raːt̚˥˩tɕʰa˦˥bu˨˩riː˧	raːt̚˥˩bu˨˩riː˧ | raːt̚˥˩tɕʰa˦˥bu˨˩riː˧		
2180	นม	letter-names	nom˧	na˦˥ma˦˥ | nom˧ | nɔː˧mɔː˧		
2162	ฝรั่ง	tone-only	fa˨˩raŋ˨˩	fa˦˥raŋ˨˩ | fa˨˩raŋ˨˩		
2157	ปฏิรูป	REVIEW	pa˨˩ti˨˩ruːp̚˥˩	pa˨˩ti˨˩ruːp̚˥˩ | pa˨˩ti˨˩ruː˧pa˨˩		
2157	บัส	REVIEW	bas˦˥	bas˦˥ | bat̚˦˥		
2154	โบราณคดี	REVIEW	boː˧raːn˧kʰa˦˥diː˧	boː˧raːn˧kʰa˦˥diː˧ | boː˧raːn˧na˦˥kʰa˦˥diː˧		
2145	ผิดปกติ	REVIEW	pʰit̚˨˩pok̚˨˩ka˨˩tiʔ˨˩	pʰit̚˨˩pa˨˩ka˨˩tiʔ˨˩ | pʰit̚˨˩pok̚˨˩ka˨˩tiʔ˨˩		
2132	อุปสรรค	REVIEW	ʔu˨˩pa˨˩sak̚˨˩	ʔup̚˨˩pa˨˩sak̚˨˩ | ʔu˨˩pa˨˩sak̚˨˩		
2129	ฉัตร	sandhi	tɕʰat̚˨˩	tɕʰat̚˨˩ | tɕʰat̚˨˩tra˨˩		
2103	ประทาน	sandhi	pra˨˩tʰaːn˧	pra˨˩tʰaːn˧ | pra˨˩tʰaːn˧na˦˥		
2097	จันทบุรี	REVIEW	tɕan˧tʰa˦˥bu˨˩riː˧	tɕan˧bu˨˩riː˧ | tɕan˧tʰa˦˥bu˨˩riː˧		
2076	ปทุม	sandhi	pa˨˩tʰum˧	pa˨˩tʰum˧ | pa˨˩tʰum˧ma˦˥		
2050	ดุสิต	sandhi	du˨˩sit̚˨˩	du˨˩sit̚˨˩ | du˨˩sit̚˨˩ta˨˩ | du˨˩si˨˩ta˨˩		
2033	สุก	sandhi	suk̚˨˩	suk̚˨˩ | suk̚˨˩ka˨˩		
2025	สมดุล	REVIEW	som˩˩˦dun˧	sa˨˩ma˦˥dun˧ | som˩˩˦dun˧		
2020	ฎ	sandhi	dɔː˧	dɔː˧ | dɔː˧tɕʰa˦˥daː˧		
2012	อดุลยเดช	REVIEW	ʔa˨˩dun˧ja˦˥deːt̚˨˩	ʔa˨˩dun˧ja˦˥deːt̚˨˩ | ʔa˨˩dun˧la˦˥ja˦˥deːt̚˨˩		
1998	ธน	sandhi	tʰon˧	tʰa˦˥na˦˥ | tʰon˧ | tʰon˧na˦˥		
1990	สาธารณสุข	sandhi	saː˩˩˦tʰaː˧ra˦˥na˦˥suk̚˨˩	saː˩˩˦tʰaː˧ra˦˥na˦˥suk̚˨˩ | saː˩˩˦tʰaː˧ra˦˥na˦˥suk̚˨˩kʰa˨˩		
1982	บก	letter-names	bok̚˨˩	bok̚˨˩ | bɔː˧kɔː˧		
1981	อังคาร	sandhi	ʔaŋ˧kʰaːn˧	ʔaŋ˧kʰaːn˧ | ʔaŋ˧kʰaː˧ra˦˥		
1981	ภูมิอากาศ	REVIEW	pʰuː˧mi˦˥ʔaː˧kaːt̚˨˩	pʰuːm˧mi˦˥ʔaː˧kaːt̚˨˩ | pʰuː˧mi˦˥ʔaː˧kaːt̚˨˩		
1972	อัฟกานิสถาน	REVIEW	ʔaf˦˥kaː˧nis˦˥tʰaːn˩˩˦	ʔaf˦˥kaː˧nis˦˥tʰaːn˩˩˦ | ʔaf˦˥kaː˧nit̚˦˥sa˨˩tʰaːn˩˩˦		
1965	วิกฤต	sandhi	wi˦˥krit̚˨˩	wi˦˥krit̚˨˩ | wi˦˥krit̚˨˩ta˨˩		
1953	ดุล	sandhi	dun˧	dun˧ | dun˧la˦˥		
1946	พฤหัสบดี	REVIEW	pʰa˦˥rɯ˦˥hat̚˨˩sa˨˩bɔː˧diː˧	pʰa˦˥rɯ˦˥hat̚˨˩sa˨˩bɔː˧diː˧ | pʰrɯ˦˥hat̚˨˩sa˨˩bɔː˧diː˧		
1935	มน	REVIEW	mon˧	ma˦˥na˦˥ | mon˧		
1932	ฮีบรู	REVIEW	hiː˧bruː˧	hiːp̚˦˥bruː˧ | hiː˧bruː˧		
1928	อุป	REVIEW	ʔup̚˨˩	ʔup̚˨˩pa˨˩ | ʔu˨˩pa˨˩		
1915	มอสโก	REVIEW	mɔːs˦˥koː˧	mɔːs˦˥koː˧ | mɔːt̚˦˥koː˧		
1911	อภัย	sandhi	ʔa˨˩pʰaj˧	ʔa˨˩pʰaj˧ | ʔa˨˩pʰaj˧ja˦˥		
1908	มาดริด	REVIEW	maː˧drit̚˨˩	maːt̚˦˥drit̚˨˩ | maː˧drit̚˨˩		
1893	พุธ	sandhi	pʰut̚˦˥	pʰut̚˦˥ | pʰut̚˦˥tʰa˦˥		
1889	ก๊าซ	REVIEW	kaːt̚˦˥	kaːs˦˥ | kaːt̚˦˥		
1884	เมรุ	REVIEW	meːn˧	meːn˧ | meː˧ru˦˥		
1882	กราฟ	REVIEW	kraːp̚˦˥	kraːf˦˥ | kraːp̚˦˥		
1879	ไหม	tone-only	maj˩˩˦	maj˦˥ | maj˩˩˦		
1876	ครึ่งหนึ่ง	tone-only	kʰrɯŋ˥˩nɯŋ˨˩	kʰrɯŋ˥˩nɯŋ˧ | kʰrɯŋ˥˩nɯŋ˨˩		
1856	เชฟ	REVIEW	tɕʰeːp̚˦˥	tɕʰeːf˦˥ | tɕʰeːp̚˦˥		
1850	น้ำตก	vowel-length	naːm˦˥tok̚˨˩	nam˦˥tok̚˨˩ | naːm˦˥tok̚˨˩		
1825	มุฮัมมัด	tone-only	mu˦˥ham˧mat̚˦˥	mu˦˥ham˧mat̚˦˥ | mu˦˥ham˧mat̚˨˩		
1825	ชล	sandhi	tɕʰon˧	tɕʰon˧ | tɕʰon˧la˦˥		
1817	โพสต์	REVIEW	pʰoːt̚˥˩	pʰoːs˦˥ | pʰoːt̚˦˥		
1806	นรก	sandhi	na˦˥rok̚˦˥	na˦˥rok̚˦˥ | na˦˥rok̚˦˥ka˨˩		
1798	เสถียร	sandhi	sa˨˩tʰian˩˩˦	sa˨˩tʰia̯n˩˩˦ | sa˨˩tʰia̯n˩˩˦ra˦˥		
1770	สมุทร	sandhi	sa˨˩mut̚˨˩	sa˨˩mut̚˨˩ | sa˨˩mut̚˨˩tʰra˦˥		
1749	อุดมการณ์	REVIEW	ʔu˨˩dom˧kaːn˧	ʔu˨˩dom˧kaːn˧ | ʔu˨˩dom˧ma˦˥kaːn˧		
1727	กบ	letter-names	kop̚˨˩	kop̚˨˩ | kɔː˧bɔː˧		
1717	โคจร	REVIEW	kʰoː˧tɕɔːn˧	kʰoː˧tɕa˨˩ra˦˥ | kʰoː˧tɕɔːn˧		
1687	บัลแกเรีย	REVIEW	ban˧kɛː˧ria˧	bal˧kɛː˧ria̯˧ | ban˧kɛː˧ria̯˧		
1685	ปาน	sandhi	paːn˧	paːn˧ | paː˧na˦˥		
1683	สารสนเทศ	REVIEW	saː˩˩˦ra˦˥son˩˩˦tʰeːt̚˥˩	saːn˩˩˦son˩˩˦tʰeːt̚˥˩ | saː˩˩˦ra˦˥son˩˩˦tʰeːt̚˥˩		
1681	โกศ	sandhi	koːt̚˨˩	koːt̚˨˩ | koːt̚˨˩sa˨˩		
1664	สุริยุปราคา	REVIEW	su˨˩ri˦˥jup̚˦˥pa˨˩raː˧kʰaː˧	su˨˩ri˦˥jup̚˦˥pa˨˩raː˧kʰaː˧ | su˨˩ri˦˥ju˦˥pa˨˩raː˧kʰaː˧		
1660	อุปสมบท	REVIEW	ʔu˨˩pa˨˩som˩˩˦bot̚˨˩	ʔup̚˨˩pa˨˩som˩˩˦bot̚˨˩ | ʔu˨˩pa˨˩som˩˩˦bot̚˨˩		
1656	บุคลิก	sandhi	buk̚˨˩kʰa˦˥lik̚˦˥	buk̚˨˩kʰa˦˥lik̚˦˥ | buk̚˨˩kʰa˦˥lik̚˦˥ka˨˩		
1632	นัย	sandhi	naj˧	naj˧ | naj˧jaʔ˦˥		
1621	เพลา	REVIEW	pʰlaw˧	pʰeː˧laː˧ | pʰlaw˧		
1617	ไฮโดรเจน	vowel-length	haj˧droː˧tɕeːn˧	haj˧droː˧tɕen˥˩ | haj˧droː˧tɕeːn˧		
1617	เซฟ	REVIEW	seːp̚˦˥	seːf˦˥ | seːp̚˦˥		
1612	ประกาศนียบัตร	REVIEW	pra˨˩kaːt̚˨˩sa˨˩niː˧ja˦˥bat̚˨˩	pra˨˩kaːt̚˨˩sa˨˩niː˧ja˦˥bat̚˨˩ | pra˨˩kaː˧sa˨˩niː˧ja˦˥bat̚˨˩		
1611	ฉ	sandhi	tɕʰɔː˩˩˦	tɕʰaʔ˨˩ | tɕʰɔː˥˩ | tɕʰɔː˩˩˦ | tɕʰɔː˩˩˦tɕʰiŋ˨˩		
1609	กาญจนบุรี	REVIEW	kaːn˧tɕa˨˩na˦˥bu˨˩riː˧	kaːn˧bu˨˩riː˧ | kaːn˧tɕa˨˩na˦˥bu˨˩riː˧		
1606	นพ	sandhi	nop̚˦˥	nop̚˦˥ | nop̚˦˥pʰa˦˥ | nɔː˧pʰɔː˧		
1599	ภัทร	sandhi	pʰat̚˦˥	pʰat̚˦˥ | pʰat̚˦˥tʰa˦˥ra˦˥ | pʰat̚˦˥tʰra˦˥		
1588	บุรุษ	sandhi	bu˨˩rut̚˨˩	bu˨˩rut̚˨˩ | bu˨˩rut̚˨˩sa˨˩		
1585	ปัสสาวะ	vowel-length	pat̚˨˩saː˩˩˦waʔ˦˥	pat̚˨˩saː˩˩˦waʔ˦˥ | pat̚˨˩sa˨˩waʔ˦˥		
1572	กุศล	sandhi	ku˨˩son˩˩˦	ku˨˩son˩˩˦ | ku˨˩son˩˩˦la˦˥		
1569	ปริ	REVIEW	priʔ˨˩	pa˨˩riʔ˦˥ | priʔ˨˩		
1559	มีน	sandhi	miːn˧	miːn˧ | miː˧na˦˥		
1557	รณ	sandhi	ron˧	ron˧ | ron˧na˦˥		
1556	โบราณวัตถุ	REVIEW	boː˧raːn˧wat̚˦˥tʰuʔ˨˩	boː˧raːn˧na˦˥wat̚˦˥tʰuʔ˨˩ | boː˧raːn˧wat̚˦˥tʰuʔ˨˩		
1556	ศาลรัฐธรรมนูญ	REVIEW	saːn˩˩˦rat̚˦˥tʰa˨˩tʰam˧ma˦˥nuːn˧	saːn˩˩˦rat̚˦˥tʰam˧ma˦˥nuːn˧ | saːn˩˩˦rat̚˦˥tʰa˨˩tʰam˧ma˦˥nuːn˧		
1526	วอชิงตัน	tone-only	wɔː˧tɕʰiŋ˧tan˧	wɔː˧tɕʰiŋ˧tan˥˩ | wɔː˧tɕʰiŋ˧tan˧		
1499	แทง	vowel-length	tʰɛːŋ˧	tʰɛŋ˧ | tʰɛːŋ˧		
1493	เฟส	REVIEW	feːt̚˥˩	feːs˨˩ | feːt̚˨˩		
1464	สบาย	tone-only	sa˨˩baːj˧	sa˧baːj˧ | sa˨˩baːj˧		
1453	บ่	REVIEW	bɔː˨˩	bɔʔ˨˩ | bɔː˨˩		
1453	ฆ	sandhi	kʰɔː˧	kʰɔː˧ | kʰɔː˧ra˦˥kʰaŋ˧		
1441	สุขาภิบาล	REVIEW	su˨˩kʰaː˩˩˦pʰi˦˥baːn˧	suk̚˨˩kʰaː˩˩˦pʰi˦˥baːn˧ | su˨˩kʰaː˩˩˦pʰi˦˥baːn˧		
1431	สรรเสริญ	REVIEW	san˩˩˦sɤːn˩˩˦	san˩˩˦ra˦˥sɤːn˩˩˦ | san˩˩˦sɤːn˩˩˦		
1426	บาสเกตบอล	REVIEW	baːs˦˥ket̚˦˥bɔl˧	baːs˦˥ket̚˦˥bɔl˧ | baːt̚˦˥sa˨˩ket̚˦˥bɔn˧		
1415	โลหิต	sandhi	loː˧hit̚˨˩	loː˧hit̚˨˩ | loː˧hit̚˨˩ta˨˩		
1414	ศีล	sandhi	siːn˩˩˦	siːn˩˩˦ | siːn˩˩˦la˦˥ | siː˩˩˦la˦˥		
1412	กรี	REVIEW	kriː˧	ka˨˩riː˧ | kriː˧		
1407	น้ำจืด	vowel-length	naːm˦˥tɕɯːt̚˨˩	nam˦˥tɕɯːt̚˨˩ | naːm˦˥tɕɯːt̚˨˩		
1394	พลาสติก	REVIEW	pʰlaːs˦˥tik̚˨˩	pʰlaːs˦˥tik̚˨˩ | pʰlaːt̚˦˥sa˨˩tik̚˨˩		
1374	เทนนิส	REVIEW	tʰen˧nis˦˥	tʰen˧nis˦˥ | tʰen˧nit̚˦˥		
1374	ตาล	sandhi	taːn˧	taːn˧ | taː˧la˦˥		
1370	สสาร	sandhi	sa˨˩saːn˩˩˦	sa˨˩saːn˩˩˦ | sa˨˩saːn˩˩˦ra˦˥		
1358	สาวก	REVIEW	saː˩˩˦wok̚˦˥	saː˩˩˦wa˦˥ka˨˩ | saː˩˩˦wok̚˦˥		
1339	ชีพ	sandhi	tɕʰiːp̚˥˩	tɕʰiːp̚˥˩ | tɕʰiːp̚˥˩pʰa˦˥		
1324	นร	letter-names	nɔː˧ra˦˥	na˦˥ra˦˥ | nɔː˧ra˦˥		
1322	นิล	sandhi	nin˧	nin˧ | nin˧la˦˥		
1310	อุปราช	REVIEW	ʔu˨˩pa˨˩raːt̚˨˩	ʔup̚˨˩pa˨˩raːt̚˨˩ | ʔu˨˩pa˨˩raːt̚˨˩		
1306	อธิปไตย	REVIEW	ʔa˨˩tʰip̚˦˥pa˨˩taj˧	ʔa˨˩tʰip̚˦˥pa˨˩taj˧ | ʔa˨˩tʰi˦˥pa˨˩taj˧		
1300	บอส	REVIEW	bɔːt̚˦˥	bɔːs˦˥ | bɔːt̚˦˥		
1291	ซอส	REVIEW	sɔːt̚˦˥	sɔːs˦˥ | sɔːt̚˦˥		
1280	สมาธิ	tone-only	sa˨˩maː˧tʰiʔ˦˥	sa˧maː˧tʰiʔ˦˥ | sa˨˩maː˧tʰiʔ˦˥		
1280	กูเกิล	REVIEW	kuː˧kɤn˥˩	kuː˧kɤl˥˩ | kuː˧kɤn˥˩		
1276	ซาอุดีอาระเบีย	tone-only	saː˧ʔu˨˩diː˧ʔaː˧ra˦˥bia˧	saː˧ʔu˨˩diː˧ʔaː˧ra˦˥bia̯˧ | saː˧ʔu˨˩diː˧ʔaː˧ra˦˥bia̯˨˩		
1275	ดัชเชส	tone-only	dat̚˦˥tɕʰes˦˥	dat̚˦˥tɕʰes˥˩ | dat̚˦˥tɕʰes˦˥		
1273	บาป	sandhi	baːp̚˨˩	baːp̚˨˩ | baːp̚˨˩pa˨˩		
1273	จิตร	sandhi	tɕit̚˨˩	tɕit̚˨˩ | tɕit̚˨˩traʔ˨˩		
1271	โทรคมนาคม	REVIEW	tʰoː˧ra˦˥kʰa˦˥ma˦˥naː˧kʰom˧	tʰoː˧ra˦˥kʰa˦˥ma˦˥naː˧kʰom˧ | tʰoː˧ra˦˥kʰom˧ma˦˥naː˧kʰom˧		
1268	อสังหาริมทรัพย์	REVIEW	ʔa˨˩saŋ˩˩˦haː˩˩˦ri˦˥ma˦˥sap̚˦˥	ʔa˨˩saŋ˩˩˦haː˩˩˦rim˧ma˦˥sap̚˦˥ | ʔa˨˩saŋ˩˩˦haː˩˩˦ri˦˥ma˦˥sap̚˦˥		
1245	จุล	sandhi	tɕun˧	tɕun˧ | tɕun˧la˦˥		
1244	อุปถัมภ์	REVIEW	ʔu˨˩pa˨˩tʰam˩˩˦	ʔup̚˨˩pa˨˩tʰam˩˩˦ | ʔu˨˩pa˨˩tʰam˩˩˦		
1241	สมมติ	sandhi	som˩˩˦mot̚˦˥	som˩˩˦mot̚˦˥ | som˩˩˦mot̚˦˥ti˨˩		
1237	ศาสนสถาน	REVIEW	saːt̚˨˩sa˨˩na˦˥sa˨˩tʰaːn˩˩˦	saːt̚˨˩sa˨˩na˦˥sa˨˩tʰaːn˩˩˦ | saː˩˩˦sa˨˩na˦˥sa˨˩tʰaːn˩˩˦		
1191	ยม	sandhi	jom˧	jom˧ | jom˧ma˦˥		
1181	แอปพลิเคชัน	tone-only	ʔɛp̚˦˥pʰli˨˩kʰeː˧tɕʰan˥˩	ʔɛp̚˦˥pʰli˦˥kʰeː˧tɕʰan˥˩ | ʔɛp̚˦˥pʰli˨˩kʰeː˧tɕʰan˥˩		
1180	คริสต์มาส	REVIEW	kʰris˦˥maːs˥˩	kʰris˦˥maːs˥˩ | kʰrit̚˦˥sa˨˩maːt̚˥˩		
1165	กอล์ฟ	REVIEW	kɔːp̚˦˥	kɔf˦˥ | kɔp̚˦˥ | kɔːf˦˥ | kɔːp̚˦˥		
1162	สมรภูมิ	REVIEW	sa˨˩mɔː˩˩˦ra˦˥pʰuːm˧	sa˨˩mɔːn˩˩˦ra˦˥pʰuːm˧ | sa˨˩mɔː˩˩˦ra˦˥pʰuːm˧		
1150	เถร	sandhi	tʰeːn˩˩˦	tʰeːn˩˩˦ | tʰeː˩˩˦ra˦˥		
1149	มารวิชัย	REVIEW	maːn˧wi˦˥tɕʰaj˧	maːn˧wi˦˥tɕʰaj˧ | maː˧ra˦˥wi˦˥tɕʰaj˧		
1147	ยุติธรรม	sandhi	jut̚˦˥ti˨˩tʰam˧	jut̚˦˥ti˨˩tʰam˧ | jut̚˦˥ti˨˩tʰam˧ma˦˥		
1136	ทิว	sandhi	tʰiw˧	tʰiw˧ | tʰi˦˥wa˦˥		
1133	สรรพ	sandhi	sap̚˨˩	san˩˩˦pʰa˦˥ | sap̚˨˩ | sap̚˨˩pʰa˦˥		
1133	ทาย	sandhi	tʰaːj˧	tʰaːj˧ | tʰaː˧ja˦˥		
1128	เบงกอล	REVIEW	beːŋ˧kɔːn˧	beŋ˧kɔːl˧ | beŋ˧kɔːn˧		
1118	พรม	sandhi	pʰrom˧	pʰrom˧ | pʰrom˧ma˦˥		
1116	สวิส	REVIEW	sa˨˩wis˦˥	sa˨˩wis˦˥ | sa˨˩wit̚˦˥		
1111	เอกอัครราชทูต	REVIEW	ʔeːk̚˨˩ʔak̚˨˩kʰra˦˥raːt̚˥˩tɕʰa˦˥tʰuːt̚˥˩	ʔeːk̚˨˩ʔak̚˨˩kʰa˦˥raːt̚˥˩tɕʰa˦˥tʰuːt̚˥˩ | ʔeːk̚˨˩ʔak̚˨˩kʰra˦˥raːt̚˥˩tɕʰa˦˥tʰuːt̚˥˩		
1100	รัฐวิสาหกิจ	REVIEW	rat̚˦˥wi˦˥saː˩˩˦ha˨˩kit̚˨˩	rat̚˦˥tʰa˨˩wi˦˥saː˩˩˦ha˨˩kit̚˨˩ | rat̚˦˥wi˦˥saː˩˩˦ha˨˩kit̚˨˩		
1086	กลาโหม	tone-only	ka˨˩laː˧hoːm˩˩˦	ka˧laː˧hoːm˩˩˦ | ka˨˩laː˧hoːm˩˩˦		
1064	แคม	vowel-length	kʰɛːm˧	kʰɛm˧ | kʰɛːm˧		
1062	อัลลอฮ์	REVIEW	ʔan˧lɔː˧	ʔan˧lɔʔ˦˥ | ʔan˧lɔː˧		
