dan	d a n
penawaran	p ə n a w a r a n
peralihan	p ə r a l i h a n
rotasi	r o t a s i
sengit	s ə ŋ i t
terintegrasi	t ə r i n t ə ɡ r a s i
terorisme	t e r o r i s m ə
aljabar	a l d͡ʒ a b a r
ap	a p e
gender	ɡ e n d ə r
miller	m i l l e r
nasionalisme	n a s i o n a l i s m ə
nature	n a t u r e
usianya	u s i a ɲ a
akademisi	a k a d ə m i s i
berapa	b ə r a p a
dirayakan	d i r a j a k a n
haiti	h a i t i
manila	m a n i l a
merpati	m ə r p a t i
gencatan	ɡ e n t͡ʃ a t a n
jual	d͡ʒ u a l
ukm	u k m
diolah	d i o l a h
popular	p o p u l a r
serapan	s ə r a p a n
struktural	s t r u k t u r a l
sur	s u r
taksi	t a k s i
yudha	j u d h a
acak	a t͡ʃ a k
botol	b o t o l
imbang	i m b a ŋ
kehakiman	k ə h a k i m a n
pintar	p i n t a r
terapan	t ə r a p a n
jenewa	d͡ʒ ə n e w a
ketapang	k ə t a p a ŋ
pembicaraan	p ə m b i t͡ʃ a r a a n
selamanya	s ə l a m a ɲ a
tempe	t ə m p ə
kendati	k ə n d a t i
resensi	r e s e n s i
selepas	s ə l ə p a s
surut	s u r u t
dian	d i a n
iata	i a t a
suaranya	s u a r a ɲ a
tebu	t ə b u
tombak	t o m b a k
abang	a b a ŋ
inflasi	i n f l a s i
kanji	k a n d͡ʒ i
sos	s o s
ukurannya	u k u r a n ɲ a
bek	b e k
berisikan	b ə r i s i k a n
diraih	d i r a i h
dong	d o ŋ
kabin	k a b i n
upah	u p a h
voli	v o l i
bayangan	b a j a ŋ a n
berenang	b ə r ə n a ŋ
biola	b i o l a
burma	b u r m a
ida	i d a
mpu	m p u
sedimen	s e d i m e n
terlarang	t ə r l a r a ŋ
transistor	t r a n s i s t o r
istirahat	i s t i r a h a t
serba	s ə r b a
tercantum	t ə r t͡ʃ a n t u m
besaran	b ə s a r a n
diselamatkan	d i s ə l a m a t k a n
diusir	d i u s i r
nanti	n a n t i
oriental	o r i e n t a l
slogan	s l o ɡ a n
surat-surat	s u r a t s u r a t
benang	b ə n a ŋ
diakhiri	d i a h i r i
fosfat	f o s f a t
hindi	h i n d i
lancar	l a n t͡ʃ a r
nova	n o v a
pemungutan	p ə m u ŋ u t a n
penggantinya	p ə ŋ ɡ a n t i ɲ a
ajaib	a d͡ʒ a i b
arifin	a r i f i n
gun	ɡ u n
kamerun	k a m e r u n
navigasi	n a f i ɡ a s i
perundang-undangan	p ə r u n d a ŋ u n d a ŋ a n
almarhum	a l m a r h u m
capital	t͡ʃ a p i t a l
indikator	i n d i k a t o r
isyarat	i ʃ a r a t
kemiripan	k ə m i r i p a n
memeriksa	m ə m ə r i k s a
percakapan	p ə r t͡ʃ a k a p a n
perempuannya	p ə r ə m p u a n ɲ a
ade	a d ə
berorientasi	b ə r o r i e n t a s i
membawahi	m ə m b a w a h i
elektromagnetik	e l e k t r o m a ɡ n e t i k
johan	d͡ʒ o h a n
sejajar	s ə d͡ʒ a d͡ʒ a r
titan	t i t a n
alih-alih	a l i h a l i h
kelainan	k ə l a i n a n
mengabaikan	m ə ŋ a b a j k a n
skandal	s k a n d a l
kaur	k a u r
cacing	t͡ʃ a t͡ʃ i ŋ
mempekerjakan	m ə m p e k ə r d͡ʒ a k a n
diiringi	d i i r i ŋ i
santri	s a n t r i
sepupu	s ə p u p u
terumbu	t ə r u m b u
tuban	t u b a n
akta	a k t a
babel	b a b ə l
grobogan	ɡ r o b o ɡ a n
ambil	a m b i l
avatar	a v a t a r
ekonom	e k o n o m
endapan	ə n d a p a n
iaurif	i a w r i f
kotawaringin	k o t a w a r i ŋ i n
ratna	r a t n a
wonogiri	w o n o ɡ i r i
diklaim	d i k l a i m
kembalinya	k ə m b a l i ɲ a
menari	m ə n a r i
personil	p ə r s o n i l
hiroshima	h i r o s h i m a
penutupan	p ə n u t u p a n
plutonium	p l u t o n i u m
pol	p o l
abi	a b i
aula	a w l a
canggih	t͡ʃ a ŋ ɡ i h
injili	i n d͡ʒ i l i
kairo	k a i r o
menyenangkan	m ə ɲ ə n a ŋ k a n
partisipasi	p a r t i s i p a s i
say	s a j
topi	t o p i
vaksin	v a k s i n
kakinya	k a k i ɲ a
megatron	m ə ɡ a t r o n
menonton	m ə n o n t o n
proposal	p r o p o s a l
anton	a n t o n
dihadapi	d i h a d a p i
kedutaan	k ə d u t a a n
kemasyarakatan	k ə m a ʃ a r a k a t a n
ram	r a m
ramadan	r a m a d a n
bertanding	b ə r t a n d i ŋ
menunjukan	m ə n u n d͡ʒ u k a n
orisinal	o r i s i n a l
pastor	p a s t o r
sragen	s r a ɡ e n
tamil	t a m i l
venesia	v e n e s i a
blasteran	b l a s t ə r a n
kemasan	k ə m a s a n
prioritas	p r i o r i t a s
sertifikasi	s ə r t i f i k a s i
uzbekistan	u z b e k i s t a n
ak	a k a
drastis	d r a s t i s
jajahan	d͡ʒ a d͡ʒ a h a n
cilik	t͡ʃ i l i k
demang	d ə m a ŋ
palang	p a l a ŋ
pemindahan	p ə m i n d a h a n
baptis	b a p t i s
gang	ɡ a ŋ
hias	h i a s
magnitudo	m a k n i t u d o
siak	s i a k
sisilia	s i s i l i a
yunus	j u n u s
kas	k a s
sanggup	s a ŋ ɡ u p
babilonia	b a b i l o n i a
dipotong	d i p o t o ŋ
diskriminasi	d i s k r i m i n a s i
orientasi	o r i e n t a s i
sejuk	s ə d͡ʒ u ʔ
telkom	t e l k o m
babad	b a b a d
moneter	m o n ə t e r
monyet	m o ɲ e t
strip	s t r i p
berdagang	b ə r d a ɡ a ŋ
dirasakan	d i r a s a k a n
pemburu	p ə m b u r u
om	o m
peti	p ə t i
psikologis	p ə s i k o l o ɡ i s
paud	p a u d
waralaba	w a r a l a b a
lidah	l i d a h
mengira	m ə ŋ i r a
puasa	p u a s a
untung	u n t u ŋ
mengudara	m ə ŋ u d a r a
menyiarkan	m ə ɲ i a r k a n
pandu	p a n d u
kebijaksanaan	k ə b i d͡ʒ a k s a n a a n
lab	l a b
latvia	l a t v i a
luna	l u n a
nyai	ɲ a j
pekerjaannya	p e k ə r d͡ʒ a a n ɲ a
perusahaan-perusahaan	p ə r u s a h a a n p ə r u s a h a a n
terkejut	t ə r k ə d͡ʒ u t
bendahara	b ə n d a h a r a
istiadat	i s t i a d a t
janda	d͡ʒ a n d a
raksa	r a k s a
suriname	s u r i n a m ə
termal	t e r m a l
bertopik	b ə r t o p i k
bubar	b u b a r
eds	e d s
eksekusi	e k s ə k u s i
has	h a s
kejam	k ə d͡ʒ a m
menghidupkan	m ə ŋ h i d u p k a n
permusyawaratan	p ə r m u ʃ a w a r a t a n
ria	r i a
buyut	b u j u t
dimodifikasi	d i m o d i f i k a s i
elektronika	e l e k t r o n i k a
interior	i n t ə r i o r
ketersediaan	k ə t ə r s ə d i a a n
pemberdayaan	p ə m b ə r d a j a a n
jari-jari	d͡ʒ a r i d͡ʒ a r i
menyamar	m ə ɲ a m a r
perumpamaan	p ə r u m p a m a a n
prinsip-prinsip	p r i n s i p p r i n s i p
sedunia	s ə d u n i a
terganggu	t ə r ɡ a ŋ ɡ u
baginya	b a ɡ i ɲ a
persediaan	p ə r s ə d i a a n
alkali	a l k a l i
berabad-abad	b ə r a b a d a b a d
butir	b u t i r
ls	l s
ogan	o ɡ a n
pengangguran	p ə ŋ a ŋ ɡ u r a n
sei	s e i
benih	b ə n i h
kerajaan-kerajaan	k ə r a d͡ʒ a a n k ə r a d͡ʒ a a n
mendatang	m ə n d a t a ŋ
nippon	n i p o n
umpan	u m p a n
bersikap	b ə r s i k a p
dahsyat	d a h ʃ a t
dekatnya	d e k a t ɲ a
diperpanjang	d i p ə r p a n d͡ʒ a ŋ
lantaran	l a n t a r a n
rm	r m
seolah-olah	s e o l a h o l a h
sepertiga	s ə p ə r t i ɡ a
biner	b i n e r
pinyin	p i n j i n
tertinggal	t ə r t i ŋ ɡ a l
yani	j a n i
amanat	a m a n a t
bumn	b e u e m e n
carter	t͡ʃ a r t ə r
depo	d e p o
diarahkan	d i a r a h k a n
kesetiaan	k ə s e t i a a n
komitmen	k o m i t m ə n
politiknya	p o l i t i k ɲ a
terkuat	t ə r k u a t
agam	a ɡ a m
bermata	b ə r m a t a
kawat	k a w a t
buleleng	b u l e l e ŋ
dialah	d i a l a h
mk	e m k a
pemilih	p ə m i l i h
photos	p h o t o s
poso	p o s o
seminari	s e m i n a r i
suit	s u i t
tempatnya	t ə m p a t ɲ a
menghadirkan	m ə ŋ h a d i r k a n
nm	n m
sahamnya	s a h a m ɲ a
saingan	s a i ŋ a n
siwa	s i w a
berkembangnya	b ə r k ə m b a ŋ ɲ a
gabriel	ɡ a b r i e l
hadi	h a d i
magetan	m a ɡ ə t a n
pembeli	p ə m b ə l i
putusan	p u t u s a n
son	s o n
bayaran	b a j a r a n
but	b u t
diagnosis	d i a ɡ n o s i s
dinamika	d i n a m i k a
fantasi	f a n t a s i
gadang	ɡ a d a ŋ
kakeknya	k a k e ʔ ɲ a
karbohidrat	k a r b o h i d r a t
suksesi	s u k s e s i
anumerta	a n u m ə r t a
halte	h a l t ə
resminya	r ə s m i ɲ a
teman-teman	t ə m a n t ə m a n
temuan	t ə m u a n
bawahnya	b a w a h ɲ a
kisaran	k i s a r a n
menangis	m ə n a ŋ i s
piringan	p i r i ŋ a n
sambutan	s a m b u t a n
undangan	u n d a ŋ a n
arwah	a r w a h
cita-cita	t͡ʃ i t a t͡ʃ i t a
ditaklukkan	d i t a k l u k k a n
kapel	k a p ə l
acuan	a t͡ʃ u a n
diperdagangkan	d i p ə r d a ɡ a ŋ k a n
esa	e s a
gunawan	ɡ u n a w a n
kamis	k a m i s
meniru	m ə n i r u
merekrut	m ə r e k r u t
morgan	m o r ɡ a n
vettel	v e t t e l
banggai	b a ŋ ɡ a j
figur	f i ɡ u r
kerinci	k ə r i n t͡ʃ i
khalid	x a l i d
menguji	m ə ŋ u d͡ʒ i
pemirsa	p ə m i r s a
pit	p e i t e
airnya	a i r ɲ a
jalannya	d͡ʒ a l a n ɲ a
sumba	s u m b a
tikungan	t i k u ŋ a n
transmigrasi	t r a n s m i ɡ r a s i
berkolaborasi	b ə r k o l a b o r a s i
kb	k a b e
menjanjikan	m ə ɲ d͡ʒ a ɲ d͡ʒ i k a n
regulasi	r e ɡ u l a s i
resor	r e s o r
santiago	s a n t i a ɡ o
sukarno	s u k a r n o
tumor	t u m o r
beristirahat	b ə r i s t i r a h a t
bonus	b o n u s
diabetes	d i a b e t ə s
duri	d u r i
renovasi	r e n o v a s i
terluar	t ə r l u a r
aristoteles	a r i s t o t e l ə s
asa	a s a
fermentasi	f e r m e n t a s i
manager	m a n a ɡ ə r
mendeskripsikan	m ə n d e s k r i p s i k a n
gunakan	ɡ u n a k a n
qatar	ʔ a t a r
sendang	s ə n d a ŋ
sendirian	s ə n d i r i a n
tuanku	t u a n k u
dilewati	d i l e w a t i
dipati	d i p a t i
rejang	r ə d͡ʒ a ŋ
yo	j o
arahan	a r a h a n
pembiayaan	p ə m b i a j a a n
tertangkap	t ə r t a ŋ k a p
uruguay	u r u ɡ u a j
hope	h o p ə
rahmat	r a h m a t
rna	r n a
sar	s a r
terluas	t ə r l u a s
awam	a w a m
beku	b ə k u
dekan	d e k a n
kafir	k a f i r
oman	o m a n
pakai	p a k a j
penggantian	p ə ŋ ɡ a n t i a n
makkah	m a k k a h
populasinya	p o p u l a s i ɲ a
purnama	p u r n a m a
sosialisme	s o s i a l i s m ə
akustik	a k u s t i k
her	h e r
kartini	k a r t i n i
membuang	m ə m b u a ŋ
mengalihkan	m ə ŋ a l i h k a n
pembubaran	p ə m b u b a r a n
penyiksaan	p ə ɲ i k s a a n
keemasan	k ə ə m a s a n
memperingatkan	m ə m p ə r i ŋ a t k a n
merugikan	m ə r u ɡ i k a n
pelepasan	p ə l ə p a s a n
predator	p r e d a t o r
pribadinya	p r i b a d i ɲ a
sedih	s ə d i h
taurat	t a u r a t
bertani	b ə r t a n i
bo	b o
kemarahan	k ə m a r a h a n
menyingkirkan	m ə ɲ i ŋ k i r k a n
teuku	t e u k u
zone	z o n ə
apel	a p e l
bahu	b a h u
bermigrasi	b ə r m i ɡ r a s i
habibie	h a b i b i
kecewa	k ə t͡ʃ e w a
lebat	l ə b a t
mengingatkan	m ə ŋ i ŋ a t k a n
tanduk	t a n d u k
cape	t͡ʃ a p ə
pandemi	p a n d e m i
patroli	p a t r o l i
penempatan	p ə n ə m p a t a n
krim	k r i m
menunjang	m ə n u n d͡ʒ a ŋ
pertolongan	p ə r t o l o ŋ a n
revisi	r e v i s i
ci	t͡ʃ i
lah	l a h
mo	m o
persepsi	p ə r s e p s i
dipastikan	d i p a s t i k a n
melati	m ə l a t i
aa	a a
balasan	b a l a s a n
ceritanya	t͡ʃ ə r i t a ɲ a
diputuskan	d i p u t u s k a n
halim	h a l i m
pengumpulan	p ə ŋ u m p u l a n
wan	w a n
kerjanya	k ə r d͡ʒ a ɲ a
kuwait	k u w a i t
perspektif	p ə r s p e k t i f
rakyatnya	r a k j a t ɲ a
sui	s u i
tersingkir	t ə r s i ŋ k i r
borobudur	b o r o b u d u r
kehamilan	k ə h a m i l a n
tiap-tiap	t i a p t i a p
habib	h a b i b
intensitas	i n t e n s i t a s
menyembuhkan	m ə ɲ ə m b u h k a n
penguasaan	p ə ŋ u a s a a n
airlangga	a i r l a ŋ ɡ a
detasemen	d e t a s ə m e n
kanselir	k a n s ə l i r
kelanjutan	k ə l a n d͡ʒ u t a n
mengenali	m ə ŋ e n a l i
menghukum	m ə ŋ h u k u m
ori	o r i
separuh	s ə p a r u h
dorongan	d o r o ŋ a n
fisi	f i s i
hatinya	h a t i ɲ a
mengantarkan	m ə ŋ a n t a r k a n
mengindikasikan	m ə ŋ i n d i k a s i k a n
minta	m i n t a
sanggar	s a ŋ ɡ a r
tokusatsu	t o k u s a t s u
fiktif	f i k t i f
mengungsi	m ə ŋ u ŋ s i
muslimin	m u s l i m i n
percepatan	p ə r t͡ʃ ə p a t a n
terpencil	t ə r p ə n t͡ʃ i l
tulisan-tulisan	t u l i s a n t u l i s a n
asetat	a s e t a t
berdasar	b ə r d a s a r
mantra	m a n t r a
memancing	m ə m a n t͡ʃ i ŋ
menyeberangi	m ə ɲ ə b ə r a ŋ i
penekanan	p ə n ə k a n a n
gantinya	ɡ a n t i ɲ a
pengucapan	p ə ŋ u t͡ʃ a p a n
plato	p l a t o
rasional	r a s i o n a l
andreas	a n d r e a s
dikategorikan	d i k a t ə ɡ o r i k a n
diperhatikan	d i p ə r h a t i k a n
parade	p a r a d ə
penerbang	p ə n ə r b a ŋ
bersumber	b ə r s u m b ə r
luwu	l u w u
pencerahan	p ə n t͡ʃ ə r a h a n
spirit	s p i r i t
dai	d a j
kedelai	k ə d ə l a j
kotabaru	k o t a b a r u
memajukan	m ə m a d͡ʒ u k a n
cakupan	t͡ʃ a k u p a n
inisiatif	i n i s i a t i f
pergeseran	p ə r ɡ e s e r a n
sakramen	s a k r a m e n
sistematis	s i s t ə m a t i s
botani	b o t a n i
mengepung	m ə ŋ ə p u ŋ
peranti	p ə r a n t i
rwanda	r w a n d a
beli	b ə l i
hamzah	h a m z a h
menaruh	m ə n a r u h
mengharuskan	m ə ŋ h a r u s k a n
gantung	ɡ a n t u ŋ
hijrah	h i d͡ʒ r a h
ky	k a j e
nirkabel	n i r k a b ə l
perantara	p ə r a n t a r a
tong	t o ŋ
bojonegoro	b o d͡ʒ o n ə ɡ o r o
endemik	e n d ə m i k
harris	h a r r i s
madya	m a d j a
membandingkan	m ə m b a n d i ŋ k a n
php	p e h a p e
siapapun	s i a p a p u n
zakat	z a k a t
kepunahan	k ə p u n a h a n
teoretis	t e o r e t i s
esai	ə s a j
karya-karyanya	k a r j a k a r j a ɲ a
lilin	l i l i n
motion	m o t i o n
respons	r e s p o n s
bentuk-bentuk	b ə n t u ʔ b ə n t u ʔ
didistribusikan	d i d i s t r i b u s i k a n
industrial	i n d u s t r i a l
dimungkinkan	d i m u ŋ k i n k a n
kekuatannya	k ə k u a t a n ɲ a
sekeliling	s ə k ə l i l i ŋ
sing	s i ŋ
toleransi	t o l ə r a n s i
yellow	j e l l o w
agresi	a ɡ r e s i
ayat-ayat	a j a t a j a t
kristiani	k r i s t i a n i
monako	m o n a k o
patogen	p a t o ɡ e n
wing	w i ŋ
barbara	b a r b a r a
dangkal	d a ŋ k a l
dikutip	d i k u t i p
diperdebatkan	d i p ə r d e b a t k a n
lagunya	l a ɡ u ɲ a
laras	l a r a s
mangkubumi	m a ŋ k u b u m i
menyertakan	m ə ɲ ə r t a k a n
pelangi	p ə l a ŋ i
perkalian	p ə r k a l i a n
bentang	b ə n t a ŋ
dibiarkan	d i b i a r k a n
filmnya	f i l ə m ɲ a
hormat	h o r m a t
merata	m ə r a t a
mesopotamia	m ə s o p o t a m i a
atraksi	a t r a k s i
birokrasi	b i r o k r a s i
debat	d e b a t
dilatih	d i l a t i h
glukosa	ɡ l u k o s a
huang	h u a ŋ
oliver	o l i v ə r
pena	p e n a
penafsiran	p ə n a f s i r a n
rekomendasi	r e k o m e n d a s i
berlari	b ə r l a r i
halmahera	h a l m a h e r a
instalasi	i n s t a l a s i
konstanta	k o n s t a n t a
kontestan	k o n t e s t a n
luhur	l u h u r
masanya	m a s a ɲ a
melanda	m ə l a n d a
melepas	m ə l ə p a s
mendatangkan	m ə n d a t a ŋ k a n
pangkal	p a ŋ k a l
pelita	p ə l i t a
senantiasa	s ə n a n t i a s a
transport	t r a n s p o r t
colspan	t͡ʃ o l s p a n
mendatangi	m ə n d a t a ŋ i
relasi	r e l a s i
sabah	s a b a h
ukiran	u k i r a n
hutang	h u t a ŋ
lebah	l ə b a h
peri	p ə r i
perindustrian	p ə r i n d u s t r i a n
terinfeksi	t ə r i n f e k s i
berevolusi	b ə r e v o l u s i
laba	l a b a
menaikkan	m ə n a i k k a n
menerjemahkan	m ə n ə r d͡ʒ ə m a h k a n
mie	m i
digit	d i ɡ i t
dijaga	d i d͡ʒ a ɡ a
konsultan	k o n s u l t a n
lamongan	l a m o ŋ a n
lotus	l o t u s
menggulingkan	m ə ŋ ɡ u l i ŋ k a n
morfologi	m o r f o l o ɡ i
pendaftaran	p ə n d a f t a r a n
sukarela	s u k a r e l a
asumsi	a s u m s i
gerhana	ɡ ə r h a n a
imperium	i m p e r i u m
perkusi	p ə r k u s i
perpaduan	p ə r p a d u a n
runtuhnya	r u n t u h ɲ a
terusan	t ə r u s a n
cole	t͡ʃ o l e
fe	f ə
menamai	m ə n a m a j
percetakan	p ə r t͡ʃ e t a k a n
pilar	p i l a r
beda	b e d a
bertingkat	b ə r t i ŋ k a t
ekuador	e k u a d o r
hp	h a p e
melaka	m ə l a k a
mendasar	m ə n d a s a r
pembersihan	p ə m b ə r s i h a n
willem	w i l l e m
adventure	a d v e n t u r ə
distributor	d i s t r i b u t o r
dukun	d u k u n
lisa	l i s a
membahayakan	m ə m b a h a j a k a n
membujuk	m ə m b u d͡ʒ u ʔ
niaga	n i a ɡ a
nitrat	n i t r a t
permen	p ə r m e n
pssi	p s s i
marina	m a r i n a
merger	m ə r ɡ ə r
ottoman	o t e t e o m a n
photo	p h o t o
taipei	t a j p e i
jujur	d͡ʒ u d͡ʒ u r
lembar	l ə m b a r
menegakkan	m ə n ə ɡ a k k a n
mengutus	m ə ŋ u t u s
nuh	n u h
ramadhan	r a m a d h a n
seberapa	s ə b ə r a p a
turbin	t u r b i n
bibit	b i b i t
didik	d i d i k
kultur	k u l t u r
rakai	r a k a i
yudistira	j u d i s t i r a
belarus	b e l a r u s
cekungan	t͡ʃ ə k u ŋ a n
kekhawatiran	k ə x a w a t i r a n
memerangi	m ə m ə r a ŋ i
podium	p o d i u m
solomon	s o l o m o n
ukur	u k u r
berkali-kali	b ə r k a l i k a l i
button	b u t t o n
dihapuskan	d i h a p u s k a n
ipa	i p a
kehidupannya	k ə h i d u p a n ɲ a
menganalisis	m ə ŋ a n a l i s i s
pu	p u
sanksi	s a ŋ s i
dos	d o s
mikroskop	m i k r o s k o p
pelarut	p ə l a r u t
tsar	t s a r
zainal	z a j n a l
asyur	a ʃ u r
berkekuatan	b ə r k ə k u a t a n
cerpen	t͡ʃ ə r p e n
kekebalan	k ə k ə b a l a n
penggalian	p ə ŋ ɡ a l i a n
rasanya	r a s a ɲ a
awalan	a w a l a n
bobot	b o b o t
diabadikan	d i a b a d i k a n
dramatis	d r a m a t i s
gugatan	ɡ u ɡ a t a n
menyandang	m ə ɲ a n d a ŋ
sara	s a r a
timnya	t i m ɲ a
apa-apa	a p a a p a
bukti-bukti	b u k t i b u k t i
diagram	d i a ɡ r a m
diperbaiki	d i p ə r b a j k i
diy	d e i j e
idris	i d r i s
jamu	d͡ʒ a m u
mandat	m a n d a t
pendakian	p ə n d a k i a n
diantara	d i a n t a r a
here	h e r e
menganggapnya	m ə ŋ a ŋ ɡ a p ɲ a
nyeri	ɲ ə r i
penataan	p ə n a t a a n
ru	r u
asal-usul	a s a l u s u l
balkan	b a l k a n
dallas	d a l l a s
keberanian	k ə b ə r a n i a n
mengendarai	m ə ŋ e n d a r a j
nil	n i l
berlalu	b ə r l a l u
giri	ɡ i r i
karna	k a r n a
kesepuluh	k ə s ə p u l u h
merangkap	m ə r a ŋ k a p
penyebutan	p ə ɲ ə b u t a n
persero	p ə r s e r o
politis	p o l i t i s
siberia	s i b ə r i a
syuting	s u t i ŋ
bijaksana	b i d͡ʒ a k s a n a
dicabut	d i t͡ʃ a b u t
dituliskan	d i t u l i s k a n
hub	h u b
hyang	h j a ŋ
kejatuhan	k ə d͡ʒ a t u h a n
perdananya	p ə r d a n a ɲ a
sekolahnya	s ə k o l a h ɲ a
agresif	a ɡ r e s i f
cimahi	t͡ʃ i m a h i
dibahas	d i b a h a s
jawi	d͡ʒ a w i
mengutuk	m ə ŋ u t u k
musical	m u s i t͡ʃ a l
pelestarian	p ə l e s t a r i a n
pemberi	p ə m b ə r i
pembina	p ə m b i n a
tendangan	t ə n d a ŋ a n
berwujud	b ə r w u d͡ʒ u d
diwajibkan	d i w a d͡ʒ i b k a n
biokimia	b i o k i m i a
brawijaya	b r a w i d͡ʒ a j a
geng	ɡ e ŋ
instan	i n s t a n
melodi	m ə l o d i
silang	s i l a ŋ
yon	j o n
antibiotik	a n t i b i o t i k
aroma	a r o m a
berjasa	b ə r d͡ʒ a s a
disebut-sebut	d i s ə b u t s ə b u t
penghulu	p ə ŋ h u l u
rika	r i k a
warsawa	w a r s a w a
beribu	b ə r i b u
berlian	b ə r l i a n
bidadari	b i d a d a r i
eksplorasi	e k s p l o r a s i
kaku	k a k u
kodim	k o d i m
mikroorganisme	m i k r o o r ɡ a n i s m ə
pandan	p a n d a n
demo	d e m o
industry	i n d u s t r j
informal	i n f o r m a l
kantong	k a n t o ŋ
kemunduran	k ə m u n d u r a n
kutukan	k u t u k a n
makalah	m a k a l a h
medang	m ə d a ŋ
momen	m o m e n
representasi	r e p r ə s e n t a s i
sarung	s a r u ŋ
ain	a i n
inang	i n a ŋ
kanjeng	k a n d͡ʒ ə ŋ
menggantikannya	m ə ŋ ɡ a n t i k a n ɲ a
merawat	m ə r a w a t
narasi	n a r a s i
sekuler	s ə k u l e r
seusai	s e u s a j
asteroid	a s t ə r o i d
bangku	b a ŋ k u
bermuara	b ə r m u a r a
berteman	b ə r t ə m a n
dikepalai	d i k ə p a l a i
dpd	d p d
hamba	h a m b a
persidangan	p ə r s i d a ŋ a n
pulo	p u l o
rights	r i ɡ h a t e e s
tanahnya	t a n a h ɲ a
terpadat	t ə r p a d a t
wacana	w a t͡ʃ a n a
jun	d͡ʒ u n
menu	m e n u
pemrosesan	p ə m r o s e s a n
terungkap	t ə r u ŋ k a p
tingkah	t i ŋ k a h
dermaga	d ə r m a ɡ a
foto-foto	f o t o f o t o
orange	o r a ŋ e
sai	s a j
selisih	s ə l i s i h
terlambat	t ə r l a m b a t
bepergian	b ə p ə r ɡ i a n
keponakan	k ə p o n a k a n
tunas	t u n a s
bulanan	b u l a n a n
bundar	b u n d a r
dennis	d e n n i s
etanol	e t a n o l
pandeglang	p a n d ə ɡ l a ŋ
penasehat	p ə n a s e h a t
rekannya	r ə k a n ɲ a
butuh	b u t u h
mencalonkan	m ə n t͡ʃ a l o n k a n
menyembunyikan	m ə ɲ ə m b u ɲ i k a n
mutasi	m u t a s i
sagu	s a ɡ u
stockholm	s t o t͡ʃ x o l m
faktor-faktor	f a k t o r f a k t o r
gaib	ɡ a i p
kesuburan	k ə s u b u r a n
lupa	l u p a
pengabdian	p ə ŋ a p d i a n
sirip	s i r i p
ugm	u ɡ e e m
dialihkan	d i a l i h k a n
kauman	k a u m a n
parit	p a r i t
polo	p o l o
sambal	s a m b a l
wahai	w a h a j
wiki	w i k i
ariel	a r i ə l
berbau	b ə r b a w
hierarki	h i e r a r k i
interpretasi	i n t ə r p r ə t a s i
mengobati	m ə ŋ o b a t i
tiri	t i r i
akhiran	a x i r a n
bibir	b i b i r
pacitan	p a t͡ʃ i t a n
penanda	p ə n a n d a
come	t͡ʃ o m ə
membantunya	m ə m b a n t u ɲ a
menghargai	m ə ŋ h a r ɡ a i
persaudaraan	p ə r s a w d a r a a n
petinggi	p ə t i ŋ ɡ i
tionghoa-indonesia	t i o ŋ h o a i n d o n e s i a
yehuwa	j e h u w a
keramat	k ə r a m a t
merapi	m ə r a p i
pesanan	p e s a n a n
potret	p o t r e t
rem	r e m
sahabatnya	s a h a b a t ɲ a
wafatnya	w a f a t ɲ a
dipenjara	d i p ə ɲ d͡ʒ a r a
kiss	k i s
membubarkan	m ə m b u b a r k a n
menganjurkan	m ə ŋ a n d͡ʒ u r k a n
nation	n a t i o n
sebanding	s ə b a n d i ŋ
tengkorak	t ə ŋ k o r a k
berlatar	b ə r l a t a r
gus	ɡ u s
hiu	h i w
kesaksian	k ə s a k s i a n
lanud	l a n u d
lo	l o
memperebutkan	m ə m p ə r ə b u t k a n
perilisan	p ə r i l i s a n
pl	p e e l
pulih	p u l i h
sumbawa	s u m b a w a
tatanan	t a t a n a n
asri	a s r i
dewa-dewi	d e w a d e w i
earl	e a r l
orkestra	o r k ə s t r a
pegulat	p ə ɡ u l a t
pengrajin	p ə ŋ r a d͡ʒ i n
intensif	i n t e n s i f
mongondow	m o ŋ o n d o w
premium	p r e m i u m
produk-produk	p r o d a k p r o d a k
rival	r i v a l
sabun	s a b u n
terpusat	t ə r p u s a t
kemitraan	k ə m i t r a a n
mata-mata	m a t a m a t a
mayjen	m a j d͡ʒ ə n
mori	m o r i
pasif	p a s i f
pendanaan	p ə n d a n a a n
lead	l e a d
prosesi	p r o s e s i
fi	f i
fragmen	f r a ɡ m e n
kura-kura	k u r a k u r a
pajajaran	p a d͡ʒ a d͡ʒ a r a n
produksinya	p r o d u k s i ɲ a
sumenep	s u m ə n ə p
anggota-anggota	a ŋ ɡ o t a a ŋ ɡ o t a
kebahagiaan	k ə b a h a ɡ i a a n
margaret	m a r ɡ a r e t
undang	u n d a ŋ
aram	a r a m
dkk	d k k
indo	i n d o
klinis	k l i n i s
lingga	l i ŋ ɡ a
olehnya	o l e h ɲ a
peresmian	p ə r e s m i a n
shu	s h u
tangkai	t a ŋ k a j
termodinamika	t e r m o d i n a m i k a
tukar	t u k a r
cekoslowakia	t͡ʃ ə k o s l o w a k i a
cengkih	t͡ʃ ə ŋ k i h
cerita-cerita	t͡ʃ ə r i t a t͡ʃ ə r i t a
dinosaurus	d i n o s a u r u s
fitri	f i t r i
jamak	d͡ʒ a m a k
lava	l a v a
pakan	p a k a n
pas	p a s
seharga	s ə h a r ɡ a
tabrakan	t a b r a k a n
yatim	j a t i m
alien	a l i e n
